Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Albania","NET-AL001A","National Environment Agency","AL0203A","Korca","SPO-AL0203A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2018","","ug/m3","0.00","3","Background","Suburban","20.7802","40.6259","848.0","","","","E1a/validated data AQ e-Reporting","05/12/2024 21:47:27","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AL/SPO-AL0203A_06001_100.parquet","hour"
"Albania","NET-AL001A","National Environment Agency","AL0206A","Shkoder","SPO-AL0206A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2018","","ug/m3","0.00","3","Background","Urban","19.5234","42.3139","13.0","","","","E1a/validated data AQ e-Reporting","05/12/2024 21:47:27","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AL/SPO-AL0206A_06001_100.parquet","hour"
"Albania","NET-AL001A","National Environment Agency","AL0204A","Vlora","SPO-AL0204A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2018","11.010","ug/m3","18.66","1","Background","Urban","19.4862","40.4031","25.0","","","","E1a/validated data AQ e-Reporting","05/12/2024 21:47:27","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AL/SPO-AL0204A_06001_100.parquet","hour"
"Albania","NET-AL001A","National Environment Agency","AL0205A","Durres","SPO-AL0205A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2018","22.415","ug/m3","17.82","1","Traffic","Urban","19.4492","41.3199","1.0","","","","E1a/validated data AQ e-Reporting","05/12/2024 21:47:27","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AL/SPO-AL0205A_06001_100.parquet","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT32701","Schwechat Sportplatz, Mühlgasse","SPO.03.2701.64380.6001.1","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2018","16.470","ug/m3","97.10","1","Background","Suburban","16.4759","48.1456","155.0","","","","E1a/validated data AQ e-Reporting","05/12/2024 21:47:27","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.03.2701.64380.6001.1.parquet","hour"
"Austria","NET.04","Amt der Oberösterreichischen Landesregierung","AT4S156","Braunau Zentrum, Kolpingplatz","SPO.04.S156.65711.6001.1","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2018","13.268","ug/m3","97.36","1","Background","Suburban","13.0392","48.2575","350.0","","","","E1a/validated data AQ e-Reporting","05/12/2024 21:47:27","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.04.S156.65711.6001.1.parquet","hour"
"Austria","NET.04","Amt der Oberösterreichischen Landesregierung","AT4S173","Steyregg Au, Freizeitpark","SPO.04.S173.65929.6001.1","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2018","13.771","ug/m3","99.59","1","Background","Suburban","14.3665","48.2798","250.0","","","","E1a/validated data AQ e-Reporting","05/12/2024 21:47:27","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.04.S173.65929.6001.1.parquet","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT31902","Zwentendorf im Tullnerfeld","SPO.03.1902.65868.6001.1","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2018","10.770","ug/m3","98.28","1","Background","Rural","15.9071","48.3451","200.0","","","","E1a/validated data AQ e-Reporting","05/12/2024 21:47:27","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.03.1902.65868.6001.1.parquet","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30104","St. Valentin A1, Buchenstraße","SPO.03.0104.65867.6001.1","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2018","14.316","ug/m3","99.58","1","Background","Rural","14.5195","48.1923","265.0","","","","E1a/validated data AQ e-Reporting","05/12/2024 21:47:27","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.03.0104.65867.6001.1.parquet","hour"
"Austria","NET.04","Amt der Oberösterreichischen Landesregierung","AT4S108","Grünbach bei Freistadt","SPO.04.S108.64343.6001.1","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2018","10.231","ug/m3","90.57","1","Background","Rural","14.5747","48.5311","918.0","","","","E1a/validated data AQ e-Reporting","05/12/2024 21:47:27","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.04.S108.64343.6001.1.parquet","hour"
