Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
Belgium,NET-Flanders,Flanders,BETR740,44R740 - ST.KRUIS-WI,SPO-BETR740_06001_100,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,14.07,ug/m3,97.53,1,Industrial,Rural,3.8087,51.1501,5,Gent                                                                            ,BE003C1                                           ,263687,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/BE/SPO-BETR740_06001_100.parquet,hour
Belgium,NET-Flanders,Flanders,BETR831,42R831 - BERENDRECHT,SPO-BETR831_06001_100,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,12.365,ug/m3,99.76,1,Industrial,Rural,4.3397,51.3488,3,Antwerpen                                                                       ,BE002C1                                           ,530014,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/BE/SPO-BETR831_06001_100.parquet,hour
France,NET-FR004A,AIRPARIF,FR04066,Zone rurale Sud,SPO-FR04066_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,7.782,ug/m3,93.79,1,Background,Rural,2.2369,48.3642,134,,,,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR04066_6001.parquet,hour
Finland,NET-FI004A,Helsingin seudun verkko (HSY),FI00208,Luukki,SPO-FI00208_06001_100,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,5.105,ug/m3,98.31,1,Background,Rural,24.6849,60.3144,55,Helsinki / Helsingfors (greater city)                                           ,FI001K2                                           ,1154967,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FI/SPO-FI00208_06001_100.parquet,hour
France,NET-FR004A,AIRPARIF,FR04048,Zone Rurale Nord,SPO-FR04048_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,8.727,ug/m3,97.59,1,Background,Rural,2.3439,49.1003,140,,,,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR04048_6001.parquet,hour
France,NET-FR058A,ATMO NOUVELLE-AQUITAINE,FR31033,PERIGUEUX,SPO-FR31033_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,6.689,ug/m3,96.4,1,Background,Urban,0.7272,45.1898,142,,,,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR31033_6001.parquet,hour
France,NET-FR035A,AIR PAYS DE LA LOIRE,FR23177,SAINT-DENIS D'ANJOU,SPO-FR23177_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,9.307,ug/m3,94.1,1,Background,Rural,-0.444,47.7877,54,,,,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR23177_6001.parquet,hour
France,NET-FR004A,AIRPARIF,FR04058,Auto A1 -Saint-Denis,SPO-FR04058_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,16.2,ug/m3,97.97,1,Traffic,Urban,2.3567,48.9253,35,Paris (greater city)                                                            ,FR001C1                                           ,9845879,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR04058_6001.parquet,hour
France,NET-FR004A,AIRPARIF,FR04002,GENNEVILLIERS,SPO-FR04002_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,12.088,ug/m3,92.02,1,Background,Urban,2.2944,48.9303,28,Paris (greater city)                                                            ,FR001C1                                           ,9845879,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR04002_6001.parquet,hour
France,NET-FR035A,AIR PAYS DE LA LOIRE,FR23182,SOURCES,SPO-FR23182_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,9.29,ug/m3,97.83,1,Background,Urban,0.2214,47.9711,50,Le Mans                                                                         ,FR038C2                                           ,150369,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR23182_6001.parquet,hour
France,NET-FR004A,AIRPARIF,FR04034,VITRY-SUR-SEINE,SPO-FR04034_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,10.797,ug/m3,94.99,1,Background,Urban,2.3758,48.7759,95,Paris (greater city)                                                            ,FR001C1                                           ,9845879,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR04034_6001.parquet,hour
France,NET-FR058A,ATMO NOUVELLE-AQUITAINE,FR31002,TALENCE,SPO-FR31002_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,9.812,ug/m3,94.91,1,Background,Urban,-0.5894,44.8005,20,Bordeaux                                                                        ,FR007C1                                           ,650138,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR31002_6001.parquet,hour
France,NET-FR035A,AIR PAYS DE LA LOIRE,FR23110,LEON BLUM,SPO-FR23110_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,8.236,ug/m3,96.21,1,Background,Urban,-2.2499,47.2641,10,Saint-Nazaire                                                                   ,FR052C2                                           ,69993,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR23110_6001.parquet,hour
France,NET-FR004A,AIRPARIF,FR04156,BOBIGNY,SPO-FR04156_6001,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,10.206,ug/m3,94.1,1,Background,Urban,2.4525,48.9025,51,Paris (greater city)                                                            ,FR001C1                                           ,9845879,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR04156_6001.parquet,hour
Austria,NET.02,Amt der Kärntner Landesregierung,AT2KA71,Klagenfurt Sterneckstraße,SPO.02.KA71.64585.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,8.494,ug/m3,99.89,1,Background,Urban,14.2991,46.6266,445,Klagenfurt                                                                      ,AT006C1                                           ,96640,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.02.KA71.64585.6001.1.parquet,hour
Austria,NET.02,Amt der Kärntner Landesregierung,AT2KA21,Klagenfurt Völkermarkter Straße,SPO.02.KA21.64523.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,11.49,ug/m3,97.71,1,Traffic,Urban,14.3181,46.6256,445,Klagenfurt                                                                      ,AT006C1                                           ,96640,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.02.KA21.64523.6001.1.parquet,hour
Austria,NET.04,Amt der Oberösterreichischen Landesregierung,AT4S431,Linz Römerberg B139,SPO.04.S431.64526.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,15.045,ug/m3,99.67,1,Traffic,Urban,14.2822,48.303,262,Linz                                                                            ,AT003C1                                           ,193814,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.04.S431.64526.6001.1.parquet,hour
Austria,NET.09,Gemeinde Wien - MA22 Umweltschutz,AT9BELG,Belgradplatz,SPO.09.BELG.67350.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,12.817,ug/m3,99.94,1,Background,Urban,16.3614,48.1744,218,Wien                                                                            ,AT001C1                                           ,1766746,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.09.BELG.67350.6001.1.parquet,hour
Austria,NET.09,Gemeinde Wien - MA22 Umweltschutz,AT9KEND,Kendlerstraße,SPO.09.KEND.64567.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,13.069,ug/m3,99.95,1,Background,Urban,16.3098,48.205,236,Wien                                                                            ,AT001C1                                           ,1766746,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.09.KEND.64567.6001.1.parquet,hour
Austria,NET.09,Gemeinde Wien - MA22 Umweltschutz,AT9GAUD,Gaudenzdorf,SPO.09.GAUD.67352.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,12.163,ug/m3,99.93,1,Background,Urban,16.3393,48.1871,179,Wien                                                                            ,AT001C1                                           ,1766746,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.09.GAUD.67352.6001.1.parquet,hour
Austria,NET.04,Amt der Oberösterreichischen Landesregierung,AT4S416,Linz Neue Welt,SPO.04.S416.64344.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,13.167,ug/m3,99.5,1,Industrial,Suburban,14.3148,48.2733,265,Linz                                                                            ,AT003C1                                           ,193814,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.04.S416.64344.6001.1.parquet,hour
Austria,NET.09,Gemeinde Wien - MA22 Umweltschutz,AT900KE,Kaiser-Ebersdorf,SPO.09.KE.66730.6001.1,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2019,12.717,ug/m3,99.19,1,Background,Suburban,16.4761,48.1567,158,Wien                                                                            ,AT001C1                                           ,1766746,E1a/validated data AQ e-Reporting,02/11/2024 21:46,https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.09.KE.66730.6001.1.parquet,hour
